canonical_name,synonyms,category,evidence_level,evidence_summary,dose_min,dose_max,dose_unit,dose_notes,perimenopause_specific,primary_claim,ssri_interaction,thyroid_interaction,bleeding_risk,liver_caution,hormone_active,pregnancy_safe,regulatory_risk,research_gaps
Vitamin A Retinol,Retinol; Retinyl palmitate; Retinyl acetate; as Vitamin A; Preformed Vitamin A,Vitamin,Strong,"Essential for vision, immune function, and skin health. RCTs for supplementation mainly in deficiency populations. Teratogenic at high doses. Fat-soluble — accumulates to toxic levels.",700,3000,IU,Upper tolerable limit 3000mcg RAE (10000 IU); teratogenic — avoid high doses in women of reproductive age; fat-soluble accumulation risk with long-term supplementation; take with fat.,No,Vision support,No,No,No,Yes,No,No,Low,Toxicity threshold in perimenopausal women with concurrent high dietary retinol intake not well characterised.
Beta-Carotene,β-Carotene; Provitamin A; as Beta-Carotene,Vitamin,Some,Precursor to vitamin A; conversion rate variable (genetic and dietary factors). RCT evidence for cancer prevention largely negative (CARET trial). Antioxidant benefits at low doses. High-dose supplementation in smokers associated with increased lung cancer risk.,3,15,mg,Conversion to retinol is highly variable; does not accumulate to toxic levels like preformed vitamin A; avoid high-dose supplementation in current smokers.,No,Antioxidant activity,No,No,No,No,No,Yes,Medium,CARET trial findings on lung cancer risk in smokers limit broader use; perimenopause-specific safety data lacking.
Vitamin E Tocopherol,d-alpha-tocopherol; dl-alpha-tocopherol; Mixed tocopherols; as Vitamin E; Tocopheryl acetate,Vitamin,Some,Some RCTs show modest benefit for hot flushes and oxidative stress in perimenopause. Mixed tocopherols (including gamma-tocopherol) may be superior to alpha-tocopherol alone. High doses associated with increased bleeding risk.,100,800,IU,Natural d-alpha-tocopherol has higher bioavailability than synthetic dl-alpha-tocopherol; mixed tocopherols preferred; upper tolerable limit 1000mg/day; bleeding risk at high doses; may interact with anticoagulants.,Yes,Hot flush reduction,No,No,Yes,No,No,Yes,Low,Optimal dose and form comparison RCTs for perimenopause hot flush outcomes are limited.
Iron Bisglycinate,Ferrous bisglycinate; Ferrochel; as Iron Bisglycinate; chelated iron,Mineral,Strong,Superior bioavailability versus iron sulfate/fumarate with significantly less GI side effects. RCTs demonstrate equivalent or superior haemoglobin restoration at lower doses. Preferred form for women with iron-deficiency anaemia.,14,100,mg,"Take on empty stomach or with vitamin C for best absorption; coffee, tea, calcium reduce absorption; bisglycinate has approximately 2-4x higher bioavailability than ferrous sulfate allowing lower effective doses; do not co-supplement with calcium.",No,Iron deficiency,No,Yes,No,No,No,Yes,Low,Long-term RCTs comparing forms specifically in perimenopausal women with varying menstrual patterns are lacking.
Iron Fumarate,Ferrous fumarate; as Iron Fumarate; as Ferrous Fumarate,Mineral,Strong,Well-established form for iron deficiency anaemia. More GI side effects than bisglycinate. Widely used in NHS prescribing. Evidence base comparable to sulfate.,14,200,mg,Higher GI side effects than glycinate forms; take with food to reduce side effects at cost of some absorption; widely available and cost-effective.,No,Iron deficiency,No,Yes,No,No,No,Yes,Low,Direct head-to-head comparison with bisglycinate in perimenopausal women specifically is lacking.
Zinc Bisglycinate,Zinc bisglycinate chelate; as Zinc Bisglycinate; chelated zinc; Zinc glycinate,Mineral,Some,"Highly bioavailable form of zinc. RCTs support immune function, skin health, and hormonal balance. Zinc plays role in thyroid hormone metabolism and reproductive hormone regulation. Better tolerated than zinc sulfate.",5,40,mg,Bisglycinate has superior absorption and tolerability versus zinc sulfate or oxide; upper tolerable limit 25mg/day (UK); take with food to prevent nausea; separate from iron and calcium by 2+ hours.,No,Immune support,No,Yes,No,No,No,Yes,Low,Perimenopause-specific RCTs examining zinc's role in hormonal transitions are limited.
Zinc Gluconate,Zinc gluconate; as Zinc Gluconate,Mineral,Some,Good bioavailability form; RCTs support immune function and cold duration reduction. Commonly used in immune supplements. Similar efficacy to bisglycinate but slightly lower bioavailability.,10,40,mg,Generally well tolerated; take with food; separate from iron and calcium; chronic high doses may deplete copper — ensure adequate copper intake.,No,Immune support,No,Yes,No,No,No,Yes,Low,Comparative bioavailability studies versus bisglycinate form in older women are lacking.
Selenium Selenomethionine,L-selenomethionine; Selenium as L-selenomethionine; SeMet,Mineral,Strong,"Organic form with highest bioavailability. RCTs support thyroid function, antioxidant activity (glutathione peroxidase), and immune function. Strong evidence for thyroid health particularly in autoimmune thyroid disease. Upper limit important.",55,200,mcg,Selenomethionine has highest bioavailability of selenium forms; upper tolerable limit 400mcg/day; selenium toxicity (selenosis) above 400mcg; Brazil nuts are high natural source — supplementation risk if high nut consumption; thyroid dose usually 200mcg.,Yes,Thyroid health,No,Yes,No,No,No,Yes,Low,Optimal dose for perimenopausal thyroid health and combination with iodine not established.
Selenium Selenite,Sodium selenite; Selenious acid; as Selenium Selenite,Mineral,Some,Inorganic form; lower bioavailability than selenomethionine. RCTs show thyroid and antioxidant benefits. Adequate but not optimal form for supplementation.,55,200,mcg,Lower bioavailability than organic selenomethionine; selenomethionine preferred for supplementation; risk of interaction with vitamin C at high doses reducing absorption.,No,Thyroid health,No,Yes,No,No,No,Yes,Low,Head-to-head comparison RCTs with selenomethionine specifically for thyroid outcomes in women are limited.
Iodine,Potassium iodide; Sodium iodide; as Iodine; Kelp iodine; Lugol's iodine,Mineral,Strong,"Essential for thyroid hormone synthesis. Strong evidence for preventing hypothyroidism and goitre. UK population often mildly deficient, particularly women. Both deficiency AND excess impair thyroid function.",150,500,mcg,Upper tolerable limit 600mcg/day (EU); kelp-derived iodine has variable and often excessive content — avoid unquantified kelp sources; iodine from KI is reliable and quantified; interacts with thyroid medication and radioactive iodine treatment.,No,Thyroid function,No,Yes,No,No,Yes,Yes,Low,Optimal supplementation levels for perimenopausal women with subclinical thyroid dysfunction not established.
Chromium Picolinate,Chromium picolinate; as Chromium Picolinate; trivalent chromium,Mineral,Some,RCTs show modest benefit for glucose tolerance and insulin sensitivity. Some evidence for reducing carbohydrate cravings. Perimenopause relevance for metabolic changes and insulin resistance. Picolinate form has superior absorption.,25,1000,mcg,Picolinate form preferred for bioavailability; take with meals; evidence for weight management is inconsistent across RCTs; upper tolerable limit not well established for trivalent chromium; hexavalent chromium is carcinogenic (not present in supplements).,Yes,Blood glucose control,No,No,No,No,No,Yes,Low,Long-term RCTs for chromium supplementation in perimenopausal metabolic changes are absent.
Boron Glycinate,Boron; as Boron Glycinate; FruiteX-B; calcium fructoborate,Mineral,Limited,"Limited RCT evidence but boron influences bone metabolism, oestrogen metabolism, and cognitive function. May increase oestrogen levels in postmenopausal women. Fruit form (calcium fructoborate) has proprietary study data.",1,10,mg,Doses above 20mg/day may cause toxicity; FruiteX-B (calcium fructoborate) has more human study data than boron glycinate; potential oestrogenic effect warrants caution in hormone-sensitive conditions.,Yes,Bone metabolism,No,No,No,No,Yes,Unknown,Low,Limited independent RCTs; most evidence from small or industry-funded studies.
Copper Gluconate,Copper bisglycinate; as Copper Gluconate; as Copper; cupric gluconate,Mineral,Some,Essential micronutrient; RCTs limited as deficiency is rare. Important cofactor for iron metabolism — high-dose zinc supplementation depletes copper. Copper: zinc ratio important for cardiovascular health.,0.5,3,mg,Upper tolerable limit 5mg/day; commonly depleted by high-dose zinc (>40mg); supplement 1mg copper per 15mg zinc above maintenance levels; copper deficiency can cause neurological symptoms.,No,Metabolic cofactor,No,No,No,No,No,Yes,Low,RCTs specifically examining copper supplementation in perimenopausal women are absent.
Manganese Bisglycinate,Manganese; as Manganese Bisglycinate; manganese chelate,Mineral,Limited,"Essential for bone matrix formation and antioxidant superoxide dismutase. Limited standalone RCT evidence; frequently included in bone health formulas with calcium, D3, and K2.",1,11,mg,Upper tolerable limit 11mg/day; generally included in small doses as bone cofactor; bisglycinate form preferred for bioavailability.,No,Bone cofactor,No,No,No,No,No,Yes,Low,No standalone RCTs for perimenopausal bone health outcomes.
Creatine Monohydrate,Creatine; Creatine monohydrate; CreaPure; as Creatine Monohydrate,Performance,Strong,"Strong RCT evidence for muscle strength and power in both athletes and older adults. Emerging RCT evidence for cognitive function, mood, and bone density in women. Meta-analyses support lean mass preservation. Recent evidence specifically in perimenopausal and postmenopausal women is growing.",3,20,g,Loading phase (20g/day for 5 days) increases stores faster but causes water retention; 3-5g/day maintenance is sufficient for most; micronised forms improve dissolution; most cost-effective as monohydrate; take post-exercise or with carbohydrates for best muscle uptake.,Yes,Muscle strength,No,No,No,No,No,Yes,Low,Post-2022: emerging RCT evidence specifically in perimenopausal women for cognitive and bone outcomes; long-term studies >12 months in this population needed.
Coenzyme Q10 Ubiquinone,CoQ10; Ubiquinone; Ubidecarenone; as CoQ10; as Ubiquinone,Performance,Strong,"Multiple RCTs support benefits for cardiovascular health, statin-induced myopathy relief, and energy metabolism. Evidence for fertility support in older reproductive-age women. Endogenous CoQ10 production declines with age. Statins significantly deplete CoQ10.",30,300,mg,Fat-soluble — must be taken with a fatty meal; ubiquinol form may be superior for absorption in individuals over 40; soft-gel formulations improve bioavailability; divide doses if taking >100mg.,Yes,Cardiovascular health,No,No,No,No,No,Yes,Low,Optimal form comparison (ubiquinone vs ubiquinol) specifically for perimenopausal outcomes not settled.
Coenzyme Q10 Ubiquinol,Ubiquinol; reduced CoQ10; Kaneka Ubiquinol; as Ubiquinol,Performance,Some,Active reduced form of CoQ10; some RCTs suggest superior absorption particularly in older adults and those with mitochondrial dysfunction. Less oxidised during digestion. Evidence base smaller than ubiquinone.,50,300,mg,May have superior bioavailability in older adults compared to ubiquinone; more expensive; fat-soluble — take with food; limited head-to-head RCTs versus ubiquinone for clinical outcomes.,Yes,Energy metabolism,No,No,No,No,No,Yes,Low,Direct comparison RCTs of ubiquinol vs ubiquinone specifically in perimenopausal women are lacking.
Alpha Lipoic Acid,ALA; R-lipoic acid; S-lipoic acid; R-ALA; as Alpha Lipoic Acid; thioctic acid,Performance,Some,"RCTs support benefits for insulin sensitivity, neuropathy, and antioxidant activity. R-ALA is the biologically active form. Some evidence for weight management in PCOS. Limited perimenopause-specific trials.",100,600,mg,R-ALA form is more bioavailable than racemic mixture; take on empty stomach for best absorption; may lower blood glucose — caution in diabetics; interact with thyroid medication and chemotherapy.,No,Antioxidant activity,No,Yes,No,No,No,Yes,Low,Perimenopause-specific RCTs examining ALA for metabolic and neuroprotective outcomes are lacking.
Resveratrol,Trans-resveratrol; Polygonum cuspidatum extract; as Resveratrol; Japanese knotweed,Performance,Limited,RCT evidence for cardiovascular and metabolic benefits is inconsistent. Low oral bioavailability limits efficacy of many products. Some RCTs in postmenopausal women show cognitive and cardiovascular benefits. Recent evidence mixed.,75,500,mg,Very low bioavailability (~1%); micronised forms or combination with piperine may improve absorption; anti-oestrogenic and pro-oestrogenic effects documented depending on concentration — caution in hormone-sensitive conditions.,Yes,Antioxidant activity,No,No,No,Yes,Yes,Unknown,Medium,Conflicting RCT results; bioavailability challenge limits translation from preclinical data; long-term safety in oestrogen-sensitive individuals not established.
NMN,Nicotinamide mononucleotide; β-NMN; as NMN,Performance,Limited,Early phase human RCTs show NMN raises blood NAD+ levels and may improve muscle insulin sensitivity and aerobic capacity in older adults. Evidence base is very young and most RCTs are small and short-term. Post-2022 data growing.,125,1200,mg,Post-2022: several small RCTs have now been published showing NAD+ elevation; long-term safety data absent; currently in regulatory grey area in some jurisdictions; FDA has raised questions about NMN's status as a dietary supplement vs investigational drug.,No,NAD+ precursor,No,No,No,No,No,Unknown,High,Post-2022: FDA challenged NMN's supplement status; long-term safety and efficacy RCTs absent; regulatory status uncertain in UK/EU.
NAD+,Nicotinamide adenine dinucleotide; as NAD+; reduced NAD,Performance,None,Oral NAD+ has very poor bioavailability due to degradation before absorption. No meaningful human RCT evidence for oral NAD+ supplementation. NMN and NR are preferred precursor strategies.,100,500,mg,Direct oral NAD+ is unlikely to significantly raise systemic NAD+ levels due to poor bioavailability; NMN and NR are more clinically rational approaches.,No,NAD+ support,No,No,No,No,No,Unknown,Low,Fundamental bioavailability questions mean no meaningful clinical RCT base exists.
Nicotinamide Riboside,NR; Niagen; as Nicotinamide Riboside; as NR,Performance,Some,Multiple small RCTs confirm NR raises blood NAD+ levels. Some RCTs show metabolic and cardiovascular benefits. Evidence base more established than NMN. Short-term safety appears acceptable.,100,1000,mg,Currently considered a dietary supplement in UK/EU; multiple branded forms available (Niagen); divided doses may maintain NAD+ levels more consistently; long-term safety data beyond 12 months lacking.,No,NAD+ precursor,No,No,No,No,No,Unknown,Medium,Long-term safety data and perimenopause-specific clinical outcomes not yet established.
Berberine,Berberine HCl; as Berberine; Berberine chloride; Goldenseal berberine,Performance,Strong,"Multiple RCTs demonstrate berberine comparable to metformin for blood glucose control in T2DM. Evidence for PCOS, cardiovascular, and gut health. MHRA enforcement risk in UK as unlicensed medicine claims. Significant drug interactions.",500,1500,mg,"Take with meals to reduce GI side effects; interacts with metformin, cyclosporine, CYP3A4 substrates; may reduce oral contraceptive efficacy; should not be used as unlicensed substitute for prescribed diabetes treatment; MHRA may classify as medicinal.",Yes,Blood glucose control,No,No,No,Yes,No,No,High,MHRA regulatory risk in UK for medicinal claims; drug interaction profile significant; perimenopause-specific RCTs needed.
PQQ,Pyrroloquinoline quinone; PQQ disodium salt; BioPQQ; as PQQ,Performance,Limited,Very limited human RCT data. Small trials suggest cognitive and mitochondrial energy benefits. Preclinical evidence strong but human translation limited. Safety appears acceptable at low doses.,10,20,mg,Very limited human RCT data; most evidence from animal studies; 10-20mg doses used in available human trials; long-term safety data absent.,No,Mitochondrial support,No,No,No,No,No,Unknown,Low,Almost no robust human RCT evidence; translation from preclinical data to clinical benefit unestablished.
Astaxanthin,Natural astaxanthin; Haematococcus pluvialis extract; as Astaxanthin,Performance,Some,"RCTs show antioxidant, skin, and eye health benefits. Some cardiovascular evidence. Anti-inflammatory properties studied in small RCTs. Generally well tolerated.",4,12,mg,Fat-soluble — take with food; natural (algae-derived) astaxanthin more bioavailable than synthetic; most RCTs use 4-12mg doses; no established upper tolerable limit.,No,Antioxidant activity,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs are absent; optimal dosing for skin and cognitive outcomes in women 40-55 not established.
Lutein,Lutein; FloraGLO Lutein; as Lutein; Carotenoid,Performance,Strong,Multiple RCTs support lutein for macular degeneration prevention and eye health (AREDS2 trial). Some evidence for cognitive function. Fat-soluble carotenoid.,6,20,mg,Fat-soluble — take with food; free form lutein (vs lutein ester) may have more predictable bioavailability; found naturally in egg yolks and leafy greens.,No,Eye health,No,No,No,No,No,Yes,Low,Perimenopause-specific RCTs for cognitive benefit are limited; most evidence from older populations.
Zeaxanthin,Zeaxanthin; RR-zeaxanthin; Optisharp; as Zeaxanthin,Performance,Strong,Strong evidence alongside lutein from AREDS2 for macular degeneration prevention. Often combined with lutein in eye health supplements.,2,10,mg,Usually combined with lutein in a 5:1 (lutein:zeaxanthin) ratio; fat-soluble — take with food.,No,Eye health,No,No,No,No,No,Yes,Low,Standalone perimenopause-specific RCTs absent.
